python-tinycss2 1.4.0-2
python-tinyhtml5 2.0.0-1
python-weasyprint 66.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-yaml 6.0.3-1
python-zopfli 0.4.0-1
qmidiarp-lv2 0.7.1-1
qoi r350.4461cc3-1
qt5-base 5.15.18+kde+r109-2
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-x11extras 5.15.18-1
qt5-xmlpatterns 5.15.18-1
qt6-base 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qtractor 1.5.9-1
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
rdesktop 1.9.0-2
readline 8.3.001-1
realtime-privileges 5-1
redland 1:1.0.17-9
rubberband 4.0.0-1
rubberband-lv2 4.0.0-1
runc 1.4.0-1
sbc 2.1-1
sdl12-compat 1.2.68-2
sdl2-compat 2.32.58-1
sdl2_ttf 2.24.0-2
sdl3 3.2.26-1
sdl_image 1.2.12-9
sdl_mixer 1.2.12-13
sdl_net 1.2.8-6
sdl_pango 0.1.2-10
sdl_pango-debug 0.1.2-10
seatd 0.9.1-1
sed 4.9-3
serd 0.32.6-1
shaderc 2025.4-2
shadow 4.18.0-1
shared-mime-info 2.4-2
slang 2.3.3-4
slurp 1.5.0-1
snappy 1.2.2-2
sorcer 1.1.3-6
sord 0.16.20-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.328.1-1
sqlite 3.51.0-1
sratom 0.6.20-1
srt 1.5.4-1
stochas 1.3.13-1
stochas-clap 1.3.13-1
stochas-standalone 1.3.13-1
stochas-vst3 1.3.13-1
sudo 1.9.17.p2-1
suil 0.10.24-1
suitesparse 7.12.1-1
surge-xt-common 1.3.4-6
surge-xt-vst3 1.3.4-6
svt-av1 3.1.2-1
swappy 1.8.0-1
sway 1:1.11-1
systemd 258.2-2
systemd-libs 258.2-2
systemd-sysvcompat 258.2-2
taglib 2.1.1-1
tar 1.35-2
tesseract 5.5.1-2
tesseract-data-eng 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
texinfo 7.2-1
texlive-basic 2025.2-2
texlive-bin 2025.2-3
texlive-fontsextra 2025.2-2
texlive-fontsrecommended 2025.2-2
thin-provisioning-tools 1.3.1-1
tinysparql 3.10.1-2
tpm2-tss 4.1.3-1
transmission-qt 4.0.6-10
tree 2.2.1-1
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-liberation 2.1.5-2
ttyper 1.6.0-1
tzdata 2025b-1
unibilium 2.1.2-1
unzip 6.0-23
usbutils 019-1
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.32.0-1
vamp-plugin-sdk 2.10.0-3
vapoursynth 72-1
vid.stab 1.1.1-2
vim 9.1.1908-1
